ID,Area,Severity,Likelihood,Issue / failure mode,Likely cause,Consequence,Diagnostic test,Clean pass criteria,Earliest stage to catch,Parallel work package,Source / code anchor
ARCH-01,Architecture,Critical,High,Dynamic tanks are accidentally retained in the Yang implementation.,"Tank-based interpretation survives in case builders, ledgers, or helper defaults.","The model again has shared inventory outside the beds, defeating the simplified direct-coupling architecture.",Search code/config for Yang-path tank state creation and run a no-tank smoke case.,Yang wrapper creates no dynamic tank inventory for internal transfers; only bed states persist physically.,Architecture reset,WP1/WP5,This workbook; Yang direct-transfer interpretation
ARCH-02,Architecture,Critical,Medium,Wrapper becomes a global four-bed RHS/DAE solve.,The schedule wrapper is mistaken for a process-network simulator.,Complexity rises sharply and the implementation diverges from existing toPSAil behavior.,"Review call graph for any combined [A,B,C,D] numerical state assembly.",No four-bed RHS exists; the wrapper orchestrates temporary two-bed/single-bed calls only.,Architecture reset,WP1/WP4,toPSAil CIS/step machinery
ARCH-03,Architecture,High,Medium,Core adsorber physics is modified unnecessarily.,Four-bed scheduling work leaks into mass/energy/momentum model code.,Existing two-bed validation becomes unreliable and regression risk increases.,Diff audit: core adsorber model files should be untouched except documented interface hooks.,Existing two-bed examples remain unchanged; Yang additions are wrapper-level.,Detailed design,WP4/WP5,toPSAil paper model sections
SCHED-01,Schedule,Critical,High,Yang schedule manifest is transcribed incorrectly.,"The source cycle table has staggered bed roles and mixed/merged durations, so manual transcription is fragile.",Wrong bed enters the wrong operation or pair at the wrong time.,Generate a normalized manifest from the source table and compare against a human-reviewed Gantt.,Each bed executes the Yang ten-step sequence once per cycle with documented duration handling.,Conceptual design,WP1,Yang 2009 Table 2
SCHED-02,Schedule,High,Medium,Slot grouping is inferred by row order instead of explicit operation metadata.,A/B/C/D table order is treated as a proxy for physical coupling.,Crossed or non-adjacent pairings are miswired without obvious failure.,Use a test manifest where the intended pair is not adjacent in row order.,"Pairing depends only on explicit pair metadata and operation labels, never row order.",Conceptual design,WP1/WP2,Yang manifest; pair-map contract
SCHED-03,Schedule,High,High,AD&PP is confused with ordinary AD or PP.,"The literature label combines adsorption, external product, and provide-pressurization semantics.",Backfill gas and product gas are counted or routed incorrectly.,"Static translation test for all Yang labels, with AD&PP represented as a compound operation.",AD&PP exposes both external adsorption/product behavior and internal BF donor behavior.,Conceptual design,WP1/WP2/WP5,Yang process description step b/j
SCHED-04,Schedule,Medium,Medium,Merged duration cells in Yang Table 2 are not normalized before execution.,Source table presentation is copied literally rather than converted into executable operation groups.,Some direct transfers appear unmatched or time-shifted.,Manifest validator expands the source schedule into atomic executable groups with start/end times.,All direct transfers have a counterpart with compatible time interval and duration basis.,Conceptual design,WP1,Yang 2009 Table 2 visual schedule
PAIR-01,Pairing,Critical,High,Wrong direct-transfer partners are selected.,"Pair map omitted, incomplete, or overwritten by native two-bed assumptions.",Gas is transferred between physically wrong beds; CSS and metrics become meaningless.,"Pair-map validator for EQI, EQII, PP/PU, and AD&PP/BF across all slots.",Every direct-transfer operation has exactly one intended companion bed and operation.,Conceptual design,WP2,Pairing map sheet
PAIR-02,Pairing,Critical,Medium,Donor and receiver direction are inverted.,Operation labels are treated symmetrically when Yang semantics are directional.,"Pressure equalization, purge, or backfill runs backwards.",Initialize a donor at higher pressure/composition and check signed transfer direction.,Transfer goes from BD/PP/AD&PP donor role to PR/PU/BF receiver role as specified.,Pilot,WP2/WP4,Yang process description steps c-e/g-h/j
PAIR-03,Pairing,High,Medium,EQI and EQII are collapsed into one generic equalization ledger category.,Native machinery may use a generic paired-bed equalization concept.,Pressure-ladder diagnostics cannot distinguish first and second equalization stages.,Ledger requires stage labels even when the solver call is generic.,Reports separately show EQI-BD/EQI-PR and EQII-BD/EQII-PR quantities.,Conceptual design,WP1/WP2/WP5,Yang pressure history
PAIR-04,Pairing,High,Medium,PP->PU endpoint mapping is wrong.,"Provide purge is a cocurrent depressurization from donor product end, while purge is countercurrent in the receiving bed.",Regeneration profiles and waste accounting are distorted.,Endpoint audit: PP donor product end feeds PU receiver product end; receiver waste leaves feed end.,Endpoint and waste/product labels match Yang step descriptions.,Conceptual design,WP2/WP4,Yang steps d/g
STATE-01,State persistence,Critical,High,Terminal states are written back to the wrong named beds.,Temporary two-bed case uses local bed 1/2 indices that are not mapped back to A/B/C/D correctly.,Bed histories are permuted and CSS diagnostics become invalid.,Round-trip test with distinguishable A/B/C/D initial states through a crossed pair call.,Returned terminal state for each local slot is written only to its original named bed.,Detailed design,WP3/WP4,state injection/extraction contract
STATE-02,State persistence,Critical,Medium,Non-participating bed states are overwritten during a slot.,Wrapper resets or copies all four states after each temporary call.,Beds that should be idle/external-only inherit unrelated states.,Run a slot with one paired call and one idle/external bed with sentinel states.,Only beds participating in a call are replaced; untouched states are bitwise or tolerance-identical.,Pilot,WP3/WP4,persistent bed state container
STATE-03,State persistence,High,Medium,Initial phase offsets for A/B/C/D are wrong.,All four persistent states are initialized identically or without Yang schedule offsets.,"Long startup, impossible first slot, or wrong CSS trajectory.",Manifest-driven initialization map and first-cycle pressure-history audit.,Initial roles and pressure classes match the chosen Yang starting slot or are explicitly documented.,Conceptual design,WP1/WP3,Yang Table 2
CASE-01,Temporary case builder,High,Medium,Temporary two-bed case leaks state or parameters across calls.,Case builder reuses mutable structures without isolating selected bed states.,Later operation groups inherit stale boundary conditions or bed identity.,Run back-to-back unrelated pairs with sentinel parameters and states.,Each temporary case contains only selected states and intended operation metadata.,Detailed design,WP4,case builder interface
